"participant","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","SiteID","Language","RemoveDOB","date","expName","psychopyVersion","visual_stimuli","age_group","block","block_displayed","test_trials","numRatio","convex_hull","avg_ind_Dot_size","cum_Surf","cum_perim","Num_1","Num_2","ConvHull_1","ConvHull_2","TotSurf_1","TotSurf_2","ADBD_1","ADBD_2","AvDiameter_1","AvDiameter_2","TotContour_1","TotContour_2","ADfC_1","ADfC_2","TS_CH_1","TS_CH_2","isa_1","isa_2","threefeat","threefeat_num","fourfeat","choice_right1","totaltime_exp","corAns","choice","accuracy","rt","filename","version"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","sample","Sample",1,0.583,51067.1,512.07,9729.3,1524.1,7,12,16128.6,34938.5,3584.5,6144.8,2304.09,2911.54,25.53,25.53,561.5,962.6,71.65,105.46,0.222,0.176,512.07,512.07,"congruent",1,"congruent_largeR",1,1.679,"m","m",1,1.171,"TESTSITE1_MNtest02_R_TESTsim0002","local"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","sample","Sample",2,0.8,24631.5,265.07,14441.7,2554.9,10,8,11002.7,13628.8,2356.2,2356.2,1100.27,1703.6,17.32,19.36,544.1,486.7,59.18,65.86,0.214,0.173,235.62,294.52,"equated",3,"equated_largeL",0,2.797,"z","z",1,0.475,"TESTSITE1_MNtest02_R_TESTsim0002","local"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","practice","Practice",3,0.714,65985.6,1283.12,15397.5,1523.8,7,5,39210.1,26775.5,8981.9,6415.6,5601.44,5355.1,40.42,40.42,888.9,634.9,111.72,92.32,0.229,0.24,1283.13,1283.12,"congruent",1,"congruent_largeL",0,4.265,"z","m",0,1.056,"TESTSITE1_MNtest02_R_TESTsim0002","local"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","practice","Practice",4,0.75,40899.7,609.48,23930.3,2749,8,6,19618.6,21281.1,4875.9,3656.9,2452.32,3546.85,27.86,27.86,700.1,525.1,79.02,82.3,0.249,0.172,609.49,609.48,"congruent",1,"congruent_largeL",0,5.91,"z","z",1,0.799,"TESTSITE1_MNtest02_R_TESTsim0002","local"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","practice","Practice",5,0.571,41212.4,936.74,32807.7,3814.8,7,4,16566.7,24645.7,3228.1,5649.3,2366.67,6161.42,24.23,42.41,532.9,532.9,72.62,88.57,0.195,0.229,461.16,1412.33,"incongruent",2,"incongruent_largeL",0,8.054,"z","m",0,1.557,"TESTSITE1_MNtest02_R_TESTsim0002","local"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","practice","Practice",6,0.667,89814.1,2649.38,56611.4,5479.2,6,4,35298,54516.1,7825.9,15977.8,5883,13629.02,40.75,71.32,768.2,896.2,106,131.73,0.222,0.293,1304.32,3994.45,"incongruent",2,"incongruent_largeL",0,9.989,"z","z",1,1.317,"TESTSITE1_MNtest02_R_TESTsim0002","local"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","block1","Block1",7,0.8,78183.3,2508.9,21306.3,1495,4,5,58156.8,20026.5,15130.6,6175.7,14539.2,4005.3,69.4,39.66,872.1,622.9,136.06,79.84,0.26,0.308,3782.65,1235.14,"incongruent",2,"incongruent_largeR",1,12.52,"m","z",0,1.865,"TESTSITE1_MNtest02_R_TESTsim0002","local"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","block1","Block1",8,0.8,106287.8,1599.79,48478.1,3882.6,8,10,80848.7,25439.1,19295.9,7875.9,10106.09,2543.91,55.42,31.67,1392.8,994.8,160.42,89.99,0.239,0.31,2411.99,787.59,"incongruent",2,"incongruent_largeR",1,14.379,"m","z",0,1.29,"TESTSITE1_MNtest02_R_TESTsim0002","local"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","block1","Block1",9,0.714,120046.6,1942.26,69813,5609,5,7,80173.9,39872.7,14641.6,6693.3,16034.78,5696.1,61.06,34.89,959.1,767.3,159.75,112.66,0.183,0.168,2928.32,956.19,"incongruent",2,"incongruent_largeR",1,16.868,"m","z",0,2.073,"TESTSITE1_MNtest02_R_TESTsim0002","local"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","amstask","2023.2.3","dot_array_v1","4-year-olds","block1","Block1",10,0.667,49829.9,2130.2,80464,6427,3,2,25462.5,24367.4,6390.6,4260.4,8487.5,12183.7,52.08,52.08,490.8,327.2,90.03,88.07,0.251,0.175,2130.2,2130.2,"congruent",1,"congruent_largeL",0,18.469,"z","m",0,0.835,"TESTSITE1_MNtest02_R_TESTsim0002","local"
