"participant","DayOfBirth","MonthOfBirth","YearOfBirth","age_years","age_months","AgeGroup","SiteID","Language","RemoveDOB","date","expName","psychopyVersion","item","clicks","objects","target_pos","probe_obj","probe_p1","probe_p2","probe_p3","probe_p4","probe_p5","probe_p6","probe_p7","test_p1","test_p2","test_p3","test_p4","test_p5","test_p6","test_p7","test_p8","test_p9","test_p10","test_p11","test_p12","test_p13","test_p14","test_p15","test_p16","test_p17","test_p18","test_p19","test_p20","corr_p1","corr_p2","corr_p3","corr_p4","corr_p5","corr_p6","corr_p7","corr_p8","corr_p9","corr_p10","corr_p11","corr_p12","corr_p13","corr_p14","corr_p15","corr_p16","corr_p17","corr_p18","corr_p19","corr_p20","P1T_rectangle","P2T_rectangle","P3T_rectangle","P4T_rectangle","P5T_rectangle","P6T_rectangle","P7T_rectangle","P8T_rectangle","P9T_rectangle","P10T_rectangle","P11T_rectangle","P12T_rectangle","P13T_rectangle","P14T_rectangle","P15T_rectangle","P16T_rectangle","P17T_rectangle","P18T_rectangle","P19T_rectangle","P20T_rectangle","presented","start","end","rt","accuracy","version","monitor_size","window_size","totaltime_exp","filename"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial1_set2",2,2,"pos15","triangle","pos9","pos15",NA,NA,NA,NA,NA,"empty","empty","empty","empty","empty","empty","empty","empty","occupied","empty","empty","empty","empty","empty","occupied","empty","empty","empty","empty","empty",1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0.9,1.348,1.501,0.495,0.564,1.211,0.989,1.174,0.976,1.617,0.955,0.714,1.055,0.592,1.499,0.431,0.59,0.952,0.947,0.632,2,0,19.142,19.142,1,"local","1920x1080","1920x1080",19.142,"TESTSITE1_MNtest02_R_TESTsim0002"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial2_set2",2,2,"pos10","square","pos2","pos10",NA,NA,NA,NA,NA,"empty","occupied","empty","empty","empty","empty","empty","empty","empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","empty",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1.049,0.83,0.563,0.499,0.812,0.406,0.647,0.671,0.657,0.512,0.457,0.28,0.925,0.787,0.421,2.205,1.386,1.147,0.646,0.505,2,20.142,35.547,15.405,1,"local","1920x1080","1920x1080",35.547,"TESTSITE1_MNtest02_R_TESTsim0002"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial3_set3",3,3,"pos19","circle","pos5","pos15","pos19",NA,NA,NA,NA,"empty","empty","empty","empty","occupied","empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","empty","empty","empty","occupied","empty",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0.957,0.527,0.83,0.927,0.529,0.509,0.695,0.862,1.086,0.924,0.707,0.832,0.883,0.879,0.585,0.643,0.437,0.852,0.958,1.316,3,36.547,52.485,15.938,1,"local","1920x1080","1920x1080",52.485,"TESTSITE1_MNtest02_R_TESTsim0002"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial4_set3",3,3,"pos10","triangle","pos10","pos11","pos12",NA,NA,NA,NA,"empty","empty","empty","empty","empty","empty","empty","empty","empty","occupied","occupied","occupied","empty","empty","empty","empty","empty","empty","empty","empty",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1.23,0.711,1.248,0.731,0.767,0.616,1.431,0.857,0.709,0.817,0.839,0.596,0.37,0.492,0.482,0.651,1.383,0.728,0.78,0.992,3,53.485,69.915,16.43,1,"local","1920x1080","1920x1080",69.915,"TESTSITE1_MNtest02_R_TESTsim0002"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial5_set4",4,4,"pos10","star","pos9","pos10","pos12","pos14",NA,NA,NA,"empty","empty","empty","empty","empty","empty","empty","empty","occupied","occupied","empty","occupied","empty","occupied","empty","empty","empty","empty","empty","empty",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.751,1.026,1.147,1.933,0.657,0.525,1.55,1.15,0.565,0.632,1.816,1.112,0.907,1.07,2.279,0.854,0.612,0.999,0.696,0.996,4,70.915,92.192,21.277,1,"local","1920x1080","1920x1080",92.192,"TESTSITE1_MNtest02_R_TESTsim0002"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial6_set4",4,4,"pos15","circle","pos4","pos10","pos15","pos17",NA,NA,NA,"empty","empty","empty","occupied","empty","empty","empty","empty","empty","occupied","empty","empty","empty","empty","occupied","empty","occupied","empty","empty","empty",1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.941,0.554,1.025,1.06,1.236,0.559,0.961,0.909,1.402,0.53,0.277,1.615,0.884,0.491,0.825,1.325,0.78,0.829,0.476,0.504,4,93.192,110.375,17.183,0,"local","1920x1080","1920x1080",110.375,"TESTSITE1_MNtest02_R_TESTsim0002"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial7_set5",5,5,"pos5","square","pos4","pos5","pos7","pos13","pos20",NA,NA,"empty","empty","empty","occupied","occupied","empty","occupied","empty","empty","empty","empty","empty","occupied","empty","empty","empty","empty","empty","empty","occupied",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.675,0.641,0.602,1.911,1.094,0.889,0.98,1.045,0.638,0.446,0.827,0.727,0.492,0.756,0.819,0.565,0.566,0.647,0.479,0.751,5,111.375,126.925,15.55,1,"local","1920x1080","1920x1080",126.925,"TESTSITE1_MNtest02_R_TESTsim0002"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial8_set5",5,5,"pos10","triangle","pos6","pos10","pos13","pos19","pos20",NA,NA,"empty","empty","empty","empty","empty","occupied","empty","empty","empty","occupied","empty","empty","occupied","empty","empty","empty","empty","empty","occupied","occupied",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0.604,0.755,0.916,0.984,1.29,1.257,0.857,1.164,0.886,0.966,1.1,0.713,0.757,0.4,1.162,0.593,0.728,0.479,0.406,0.902,5,127.925,144.844,16.919,1,"local","1920x1080","1920x1080",144.844,"TESTSITE1_MNtest02_R_TESTsim0002"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial9_set6",6,6,"pos9","triangle","pos2","pos4","pos9","pos12","pos13","pos14",NA,"empty","occupied","empty","occupied","empty","empty","empty","empty","occupied","empty","empty","occupied","occupied","occupied","empty","empty","empty","empty","empty","empty",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.482,0.327,0.575,0.937,0.506,0.551,1.348,1.019,0.889,0.817,1.158,0.527,0.402,0.569,0.83,0.969,0.709,0.977,0.745,6,145.844,160.888,15.044,1,"local","1920x1080","1920x1080",160.888,"TESTSITE1_MNtest02_R_TESTsim0002"
"MNtest02",15,3,2022,4,53,"4-year-olds","TESTSITE1","English","No","2026-09-13","vmtask","2023.2.3","VM_trial10_set6",6,6,"pos14","circle","pos3","pos6","pos13","pos14","pos16","pos19",NA,"empty","empty","occupied","empty","empty","occupied","empty","empty","empty","empty","empty","empty","occupied","occupied","empty","occupied","empty","empty","occupied","empty",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.552,0.653,1.943,0.917,0.904,0.87,0.599,0.781,1.211,0.486,1.18,0.633,0.668,1.196,0.952,0.762,0.731,0.703,1.516,0.661,6,161.888,179.806,17.918,1,"local","1920x1080","1920x1080",179.806,"TESTSITE1_MNtest02_R_TESTsim0002"
